par,est,iter,ln_sigma_eta,Estimation model,Operating model
beta[j1],-2.8149856540593348,87,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.6263934285703434,88,0,Diffusion,Operating model = Diffusion
beta[j1],-2.1422422945251123,88,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.282005587499734,88,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.4102539088682313,89,0,Diffusion,Operating model = Diffusion
beta[j1],-2.321282501908794,89,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.8238842611120702,89,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-3.1102495663127905,90,0,Diffusion,Operating model = Diffusion
beta[j1],-2.080513122083223,90,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.5288181004147323,90,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.4756869541306403,91,0,Diffusion,Operating model = Diffusion
beta[j1],-2.6115325134380463,91,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.5209687961154494,91,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.551784342528595,92,0,Diffusion,Operating model = Diffusion
beta[j1],-1.997721230847267,92,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.072524235884667,92,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.187204241645926,93,0,Diffusion,Operating model = Diffusion
beta[j1],-1.8682084978857838,93,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.1308571216280097,93,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.3566390095483842,94,0,Diffusion,Operating model = Diffusion
beta[j1],-2.533545515274232,94,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.5568094010610025,94,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.259861120632969,95,0,Diffusion,Operating model = Diffusion
beta[j1],-2.5660643073002443,95,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.324725172075004,95,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.566583857318848,96,0,Diffusion,Operating model = Diffusion
beta[j1],-2.5986450333387756,96,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.5102332922748776,96,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.1418330758207524,97,0,Diffusion,Operating model = Diffusion
beta[j1],-2.5300160901773223,97,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.4823511315138655,97,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.530210968554552,98,0,Diffusion,Operating model = Diffusion
beta[j1],-2.3089556440615375,98,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.6722646467582676,98,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.258508475199676,99,0,Diffusion,Operating model = Diffusion
beta[j1],-2.408289715925087,99,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.3241294782899224,99,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.2805234792573517,100,0,Diffusion,Operating model = Diffusion
beta[j1],-2.568029408235258,100,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.622100013592779,100,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.5174969617014398,101,0,Diffusion,Operating model = Diffusion
beta[j1],-2.3544053203867743,101,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.529893479932441,101,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.5812700490104277,102,0,Diffusion,Operating model = Diffusion
beta[j1],-2.2490757879135392,102,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.6395859709112863,102,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.8291814142436444,103,0,Diffusion,Operating model = Diffusion
beta[j1],-2.478442424555702,103,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.316747778703087,103,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.5121902247977816,104,0,Diffusion,Operating model = Diffusion
beta[j1],-2.4208443629416183,104,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.4801428158511714,104,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.1728282031410653,105,0,Diffusion,Operating model = Diffusion
beta[j1],-2.298403635637829,105,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.308264307896251,105,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-1.9273410713188208,106,0,Diffusion,Operating model = Diffusion
beta[j1],-2.616219801776006,106,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.7867168172317864,106,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.565877368924197,107,0,Diffusion,Operating model = Diffusion
beta[j1],-2.074775176541809,107,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-3.304823272334129,107,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.7712289552024347,108,0,Diffusion,Operating model = Diffusion
beta[j1],-2.6375540779858673,108,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.141845889703316,108,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.6414931625945974,109,0,Diffusion,Operating model = Diffusion
beta[j1],-2.2951954301459185,109,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.5643146328040847,109,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.076319169959868,110,0,Diffusion,Operating model = Diffusion
beta[j1],-2.3882577265317666,110,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.6468232949445762,110,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.3085882713029764,111,0,Diffusion,Operating model = Diffusion
beta[j1],-2.576082858305078,111,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.548717031736836,111,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.218676563438125,112,0,Diffusion,Operating model = Diffusion
beta[j1],-2.7498227175111225,112,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.5074315242811145,112,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.5368198949289993,113,0,Diffusion,Operating model = Diffusion
beta[j1],-2.3802062425707726,113,-2.30258509299405,Diffusion,Operating model = Diffusion
